,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1941,1,,,,74.7,,,1941-01-01,
8,1941,2,,,,69.1,,,1941-02-01,
9,1941,3,,,,76.2,,,1941-03-01,
10,1941,4,,,,33.7,,,1941-04-01,
11,1941,5,,,,51.3,,,1941-05-01,
12,1941,6,,,,25.7,,,1941-06-01,
13,1941,7,,,,53.9,,,1941-07-01,
14,1941,8,,,,91.8,,,1941-08-01,
15,1941,9,,,,25.5,,,1941-09-01,
16,1941,10,,,,106.2,,,1941-10-01,
17,1941,11,,,,92.3,,,1941-11-01,
18,1941,12,,,,86.5,,,1941-12-01,
19,1942,1,5.8,2.1,,114.0,58.0,,1942-01-01,3.95
20,1942,2,4.2,-0.6,,13.8,80.3,,1942-02-01,1.8
21,1942,3,9.7,3.7,,58.0,117.9,,1942-03-01,6.699999999999999
22,1942,4,13.1,5.3,,42.5,200.1,,1942-04-01,9.2
23,1942,5,14.0,6.9,,101.1,215.1,,1942-05-01,10.45
24,1942,6,16.2,9.9,,2.3,269.3,,1942-06-01,13.05
25,1942,7,17.4,11.3,,70.2,185.0,,1942-07-01,14.35
26,1942,8,18.7,12.3,,78.5,141.9,,1942-08-01,15.5
27,1942,9,16.4,10.7,,146.8,129.1,,1942-09-01,13.549999999999999
28,1942,10,13.1,8.2,,131.1,82.1,,1942-10-01,10.649999999999999
29,1942,11,9.2,4.6,,19.8,62.9,,1942-11-01,6.8999999999999995
30,1942,12,9.6,6.2,,183.9,31.4,,1942-12-01,7.9
31,1943,1,8.2,3.5,,176.7,41.4,,1943-01-01,5.85
32,1943,2,8.9,4.6,,65.4,68.6,,1943-02-01,6.75
33,1943,3,10.2,4.1,,21.0,156.2,,1943-03-01,7.1499999999999995
34,1943,4,13.0,6.8,,39.4,178.3,,1943-04-01,9.9
35,1943,5,14.1,7.4,,83.5,233.3,,1943-05-01,10.75
36,1943,6,15.9,9.8,,58.7,223.8,,1943-06-01,12.850000000000001
37,1943,7,18.6,11.7,,57.3,240.5,,1943-07-01,15.15
38,1943,8,18.1,12.0,,86.5,148.0,,1943-08-01,15.05
39,1943,9,15.8,10.0,,127.1,110.6,,1943-09-01,12.9
40,1943,10,13.6,8.3,,120.3,93.7,,1943-10-01,10.95
41,1943,11,9.7,5.9,,93.0,47.4,,1943-11-01,7.8
42,1943,12,6.9,2.7,,63.6,75.3,,1943-12-01,4.800000000000001
43,1944,1,9.2,5.8,,87.9,23.7,,1944-01-01,7.5
44,1944,2,6.5,3.1,,34.0,72.5,,1944-02-01,4.8
45,1944,3,8.6,3.1,,17.0,153.2,,1944-03-01,5.85
46,1944,4,12.7,6.6,,44.9,157.1,,1944-04-01,9.649999999999999
47,1944,5,13.8,7.0,,37.2,242.3,,1944-05-01,10.4
48,1944,6,15.4,9.9,,53.2,182.2,,1944-06-01,12.65
49,1944,7,18.2,12.6,,54.5,112.7,,1944-07-01,15.399999999999999
50,1944,8,19.7,12.8,,100.2,220.9,,1944-08-01,16.25
51,1944,9,15.7,10.3,,80.7,132.7,,1944-09-01,13.0
52,1944,10,12.1,7.8,,131.9,91.0,,1944-10-01,9.95
53,1944,11,9.5,5.8,,156.2,28.9,,1944-11-01,7.65
54,1944,12,7.7,4.3,,71.9,58.5,,1944-12-01,6.0
55,1945,1,4.5,1.3,,58.8,58.1,,1945-01-01,2.9
56,1945,2,9.6,5.1,,110.7,80.4,,1945-02-01,7.35
57,1945,3,10.4,5.2,,34.3,124.1,,1945-03-01,7.800000000000001
58,1945,4,13.3,6.6,,55.1,205.1,,1945-04-01,9.95
59,1945,5,14.3,8.3,,82.8,166.3,,1945-05-01,11.3
60,1945,6,16.5,10.2,,68.5,193.7,,1945-06-01,13.35
61,1945,7,17.4,12.2,,130.6,130.0,,1945-07-01,14.799999999999999
62,1945,8,18.1,11.9,,41.9,164.2,,1945-08-01,15.0
63,1945,9,17.1,11.3,,61.2,101.0,,1945-09-01,14.200000000000001
64,1945,10,15.2,9.1,,66.9,117.5,,1945-10-01,12.149999999999999
