,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1853,1,,,,57.3,,,1853-01-01,
8,1853,2,,,,32.3,,,1853-02-01,
9,1853,3,,,,65.5,,,1853-03-01,
10,1853,4,,,,46.2,,,1853-04-01,
11,1853,5,,,,13.2,,,1853-05-01,
12,1853,6,,,,53.3,,,1853-06-01,
13,1853,7,,,,78.0,,,1853-07-01,
14,1853,8,,,,56.6,,,1853-08-01,
15,1853,9,,,,24.5,,,1853-09-01,
16,1853,10,,,,94.8,,,1853-10-01,
17,1853,11,,,,75.5,,,1853-11-01,
18,1853,12,,,,39.1,,,1853-12-01,
19,1854,1,,,,78.9,,,1854-01-01,
20,1854,2,,,,38.8,,,1854-02-01,
21,1854,3,,,,41.2,,,1854-03-01,
22,1854,4,,,,4.5,,,1854-04-01,
23,1854,5,,,,73.5,,,1854-05-01,
24,1854,6,,,,115.4,,,1854-06-01,
25,1854,7,,,,133.1,,,1854-07-01,
26,1854,8,,,,65.6,,,1854-08-01,
27,1854,9,,,,42.4,,,1854-09-01,
28,1854,10,,,,73.6,,,1854-10-01,
29,1854,11,,,,63.0,,,1854-11-01,
30,1854,12,,,,107.2,,,1854-12-01,
31,1855,1,,,,7.3,,,1855-01-01,
32,1855,2,,,,38.7,,,1855-02-01,
33,1855,3,,,,54.2,,,1855-03-01,
34,1855,4,,,,34.2,,,1855-04-01,
35,1855,5,,,,62.2,,,1855-05-01,
36,1855,6,,,,60.2,,,1855-06-01,
37,1855,7,,,,71.5,,,1855-07-01,
38,1855,8,,,,83.3,,,1855-08-01,
39,1855,9,,,,37.4,,,1855-09-01,
40,1855,10,,,,81.9,,,1855-10-01,
41,1855,11,,,,17.4,,,1855-11-01,
42,1855,12,,,,54.3,,,1855-12-01,
43,1856,1,,,,58.7,,,1856-01-01,
44,1856,2,,,,38.8,,,1856-02-01,
45,1856,3,,,,21.1,,,1856-03-01,
46,1856,4,,,,26.3,,,1856-04-01,
47,1856,5,,,,107.4,,,1856-05-01,
48,1856,6,,,,58.1,,,1856-06-01,
49,1856,7,,,,39.4,,,1856-07-01,
