,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1961,7,14.4,8.7,0.0,,,,1961-07-01,23.1
8,1961,8,15.9,8.7,0.0,,,,1961-08-01,24.6
9,1961,9,15.8,8.5,0.0,,,,1961-09-01,24.3
10,1961,10,12.1,5.8,0.0,,,,1961-10-01,17.9
11,1961,11,,,,,,,1961-11-01,
12,1961,12,5.4,0.0,15.0,,,,1961-12-01,5.4
13,1962,1,6.8,0.5,7.0,,,,1962-01-01,7.3
14,1962,2,7.0,1.5,5.0,,,,1962-02-01,8.5
15,1962,3,5.3,-1.5,19.0,,,,1962-03-01,3.8
16,1962,4,10.2,2.0,3.0,,,,1962-04-01,12.2
17,1962,5,12.0,4.6,0.0,,,,1962-05-01,16.6
18,1962,6,15.1,7.3,0.0,,,,1962-06-01,22.4
19,1962,7,15.4,8.5,0.0,,,,1962-07-01,23.9
20,1962,8,15.3,8.8,0.0,,,,1962-08-01,24.1
21,1962,9,13.5,7.8,0.0,,,,1962-09-01,21.3
22,1962,10,12.3,7.0,0.0,,,,1962-10-01,19.3
23,1962,11,8.1,3.0,2.0,,,,1962-11-01,11.1
24,1962,12,6.5,2.0,6.0,,,,1962-12-01,8.5
25,1963,1,2.6,-1.4,22.0,,,,1963-01-01,1.2000000000000002
26,1963,2,3.1,-1.6,20.0,,,,1963-02-01,1.5
27,1963,3,8.6,2.1,6.0,,,,1963-03-01,10.7
28,1963,4,9.6,3.7,2.0,,,,1963-04-01,13.3
29,1963,5,11.8,4.6,0.0,,,,1963-05-01,16.4
30,1963,6,16.0,8.7,0.0,,,,1963-06-01,24.7
31,1963,7,16.1,9.1,0.0,,,,1963-07-01,25.200000000000003
32,1963,8,14.9,9.1,0.0,,,,1963-08-01,24.0
33,1963,9,14.4,8.3,0.0,,,,1963-09-01,22.700000000000003
34,1963,10,12.6,7.3,0.0,,,,1963-10-01,19.9
35,1963,11,9.1,3.9,4.0,,,,1963-11-01,13.0
36,1963,12,6.1,1.8,7.0,,,,1963-12-01,7.8999999999999995
37,1964,1,7.1,2.9,0.0,,,,1964-01-01,10.0
38,1964,2,6.5,2.0,8.0,,,,1964-02-01,8.5
39,1964,3,6.3,2.0,6.0,,,,1964-03-01,8.3
40,1964,4,10.9,4.2,2.0,,,,1964-04-01,15.100000000000001
41,1964,5,14.8,6.7,0.0,,,,1964-05-01,21.5
42,1964,6,14.2,8.3,0.0,,,,1964-06-01,22.5
43,1964,7,15.8,9.6,0.0,,,,1964-07-01,25.4
44,1964,8,16.0,9.4,0.0,,,,1964-08-01,25.4
45,1964,9,15.1,9.0,0.0,,,,1964-09-01,24.1
46,1964,10,11.4,6.0,0.0,,,,1964-10-01,17.4
47,1964,11,9.8,3.9,3.0,,,,1964-11-01,13.700000000000001
48,1964,12,6.3,0.8,10.0,,,,1964-12-01,7.1
49,1965,1,5.1,0.3,13.0,,,,1965-01-01,5.3999999999999995
50,1965,2,6.0,0.5,10.0,,,,1965-02-01,6.5
51,1965,3,7.2,1.2,9.0,,,,1965-03-01,8.4
52,1965,4,10.0,3.2,1.0,,,,1965-04-01,13.2
53,1965,5,12.8,6.0,2.0,,161.0,,1965-05-01,18.8
54,1965,6,15.4,8.3,0.0,,148.7,,1965-06-01,23.700000000000003
55,1965,7,14.1,8.2,0.0,,160.8,,1965-07-01,22.299999999999997
56,1965,8,15.3,8.4,0.0,,160.9,,1965-08-01,23.700000000000003
57,1965,9,13.7,7.4,0.0,,100.0,,1965-09-01,21.1
58,1965,10,12.4,7.4,0.0,,88.0,,1965-10-01,19.8
59,1965,11,6.3,1.9,10.0,,61.9,,1965-11-01,8.2
60,1965,12,6.6,1.3,6.0,,37.4,,1965-12-01,7.8999999999999995
61,1966,1,5.3,1.4,11.0,,30.4,,1966-01-01,6.699999999999999
62,1966,2,6.0,1.7,9.0,,41.6,,1966-02-01,7.7
63,1966,3,9.0,3.0,4.0,,103.1,,1966-03-01,12.0
64,1966,4,8.4,2.7,6.0,,108.3,,1966-04-01,11.100000000000001
65,1966,5,12.8,5.7,0.0,,204.3,,1966-05-01,18.5
66,1966,6,15.7,9.5,0.0,,107.9,,1966-06-01,25.2
67,1966,7,15.7,9.1,0.0,,166.4,,1966-07-01,24.799999999999997
68,1966,8,15.3,8.6,0.0,,164.8,,1966-08-01,23.9
69,1966,9,15.2,8.7,0.0,,100.6,,1966-09-01,23.9
70,1966,10,10.9,5.4,1.0,,94.2,,1966-10-01,16.3
71,1966,11,7.5,2.5,2.0,,54.0,,1966-11-01,10.0
72,1966,12,7.2,2.2,5.0,,31.0,,1966-12-01,9.4
73,1967,1,7.0,2.4,3.0,,52.6,,1967-01-01,9.4
74,1967,2,7.1,2.1,2.0,,73.8,,1967-02-01,9.2
75,1967,3,7.9,2.3,4.0,,99.6,,1967-03-01,10.2
76,1967,4,9.5,3.1,5.0,,127.6,,1967-04-01,12.6
77,1967,5,10.8,4.7,2.0,,172.6,,1967-05-01,15.5
78,1967,6,15.5,7.3,0.0,,189.9,,1967-06-01,22.8
79,1967,7,17.0,9.3,0.0,,119.8,,1967-07-01,26.3
80,1967,8,15.9,9.0,0.0,,133.7,,1967-08-01,24.9
81,1967,9,15.0,8.2,0.0,,126.3,,1967-09-01,23.2
82,1967,10,11.4,5.4,0.0,,94.1,,1967-10-01,16.8
83,1967,11,8.4,3.0,0.0,,53.0,,1967-11-01,11.4
84,1967,12,7.0,2.6,8.0,,33.9,,1967-12-01,9.6
85,1968,1,6.9,1.9,6.0,,30.4,,1968-01-01,8.8
86,1968,2,4.3,-1.1,18.0,,87.2,,1968-02-01,3.1999999999999997
87,1968,3,7.9,1.8,8.0,,86.3,,1968-03-01,9.700000000000001
88,1968,4,10.4,2.8,7.0,,202.4,,1968-04-01,13.2
89,1968,5,10.6,3.8,1.0,,164.9,,1968-05-01,14.399999999999999
90,1968,6,16.3,7.3,0.0,,218.8,,1968-06-01,23.6
91,1968,7,15.3,7.9,0.0,,183.8,,1968-07-01,23.200000000000003
92,1968,8,17.2,8.4,0.0,,213.6,,1968-08-01,25.6
93,1968,9,14.6,8.8,0.0,,112.7,,1968-09-01,23.4
94,1968,10,13.8,8.4,0.0,,66.3,,1968-10-01,22.200000000000003
95,1968,11,8.4,4.0,2.0,,41.4,,1968-11-01,12.4
96,1968,12,6.4,1.8,10.0,,34.4,,1968-12-01,8.200000000000001
97,1969,1,6.6,2.3,6.0,,25.3,,1969-01-01,8.899999999999999
98,1969,2,3.2,-1.4,18.0,,48.8,,1969-02-01,1.8000000000000003
99,1969,3,5.4,-0.4,15.0,,97.7,,1969-03-01,5.0
100,1969,4,9.5,2.2,5.0,,195.3,,1969-04-01,11.7
101,1969,5,12.0,5.3,1.0,,163.7,,1969-05-01,17.3
102,1969,6,15.8,7.3,0.0,,228.1,,1969-06-01,23.1
103,1969,7,17.8,10.1,0.0,,148.6,,1969-07-01,27.9
104,1969,8,16.4,10.7,0.0,,111.3,,1969-08-01,27.099999999999998
105,1969,9,14.8,8.8,0.0,,74.3,,1969-09-01,23.6
106,1969,10,14.7,9.1,0.0,,74.0,,1969-10-01,23.799999999999997
107,1969,11,6.6,1.2,9.0,,40.4,,1969-11-01,7.8
108,1969,12,6.5,1.7,8.0,,27.0,,1969-12-01,8.2
109,1970,1,6.4,1.8,9.0,,34.7,,1970-01-01,8.200000000000001
110,1970,2,4.7,-1.0,18.0,,79.5,,1970-02-01,3.7
111,1970,3,6.2,0.7,13.0,,94.6,,1970-03-01,6.9
112,1970,4,8.8,2.4,4.0,,127.0,,1970-04-01,11.200000000000001
113,1970,5,13.7,6.8,0.0,,117.4,,1970-05-01,20.5
114,1970,6,17.6,9.4,0.0,,195.6,,1970-06-01,27.0
115,1970,7,14.8,8.6,0.0,,75.2,,1970-07-01,23.4
116,1970,8,17.2,10.0,0.0,,148.8,,1970-08-01,27.2
117,1970,9,15.1,8.7,0.0,,82.6,,1970-09-01,23.799999999999997
118,1970,10,12.1,6.7,0.0,,45.1,,1970-10-01,18.8
119,1970,11,8.7,3.7,2.0,,35.7,,1970-11-01,12.399999999999999
120,1970,12,7.1,2.9,1.0,,24.4,,1970-12-01,10.0
121,1971,1,7.2,2.1,8.0,,47.0,,1971-01-01,9.3
122,1971,2,7.3,2.3,7.0,,45.6,,1971-02-01,9.6
123,1971,3,7.9,1.9,6.0,,83.3,,1971-03-01,9.8
124,1971,4,9.5,3.1,3.0,,117.6,,1971-04-01,12.6
125,1971,5,13.1,5.6,0.0,,175.8,,1971-05-01,18.7
126,1971,6,13.5,7.0,0.0,,158.9,,1971-06-01,20.5
127,1971,7,16.9,9.5,0.0,,127.0,,1971-07-01,26.4
128,1971,8,15.9,9.4,0.0,,95.8,,1971-08-01,25.3
129,1971,9,16.6,8.7,1.0,,117.5,,1971-09-01,25.3
130,1971,10,13.4,7.8,1.0,,83.8,,1971-10-01,21.2
131,1971,11,9.0,3.7,6.0,,35.1,,1971-11-01,12.7
132,1971,12,8.7,4.5,1.0,,18.3,,1971-12-01,13.2
133,1972,1,5.7,1.5,8.0,,35.1,,1972-01-01,7.2
134,1972,2,6.3,1.3,5.0,,58.5,,1972-02-01,7.6
135,1972,3,7.9,1.8,6.0,,91.4,,1972-03-01,9.700000000000001
136,1972,4,10.2,3.7,0.0,,140.3,,1972-04-01,13.899999999999999
137,1972,5,11.7,5.3,0.0,,114.6,,1972-05-01,17.0
138,1972,6,12.7,5.9,0.0,,130.6,,1972-06-01,18.6
139,1972,7,16.6,8.8,0.0,,142.6,,1972-07-01,25.400000000000002
140,1972,8,14.9,8.9,0.0,,78.1,,1972-08-01,23.8
141,1972,9,13.7,6.9,0.0,,93.7,,1972-09-01,20.6
142,1972,10,12.4,7.1,0.0,,78.8,,1972-10-01,19.5
143,1972,11,7.8,2.7,5.0,,32.1,,1972-11-01,10.5
144,1972,12,8.1,2.7,7.0,,37.3,,1972-12-01,10.8
145,1973,1,7.2,3.2,4.0,,21.4,,1973-01-01,10.4
146,1973,2,6.4,1.8,8.0,,53.8,,1973-02-01,8.200000000000001
147,1973,3,9.1,2.9,7.0,,105.8,,1973-03-01,12.0
148,1973,4,8.5,3.8,2.0,,133.8,,1973-04-01,12.3
149,1973,5,11.9,6.2,0.0,,130.2,,1973-05-01,18.1
150,1973,6,16.5,8.1,0.0,,167.9,,1973-06-01,24.6
151,1973,7,16.4,10.1,0.0,,126.5,,1973-07-01,26.5
152,1973,8,17.0,10.3,0.0,,124.6,,1973-08-01,27.3
153,1973,9,15.1,8.6,0.0,,121.6,,1973-09-01,23.7
154,1973,10,11.2,5.8,0.0,,76.1,,1973-10-01,17.0
155,1973,11,8.3,2.9,6.0,,36.9,,1973-11-01,11.200000000000001
156,1973,12,7.5,1.9,6.0,,32.1,,1973-12-01,9.4
157,1974,1,8.1,2.5,5.0,,39.6,,1974-01-01,10.6
158,1974,2,7.1,1.9,6.0,,59.3,,1974-02-01,9.0
159,1974,3,7.6,2.0,5.0,,100.7,,1974-03-01,9.6
160,1974,4,11.4,2.2,6.0,,245.6,,1974-04-01,13.600000000000001
161,1974,5,12.0,5.8,0.0,,155.6,,1974-05-01,17.8
162,1974,6,15.4,7.0,0.0,,181.8,,1974-06-01,22.4
163,1974,7,,,0.0,,138.3,,1974-07-01,
164,1974,8,17.1,9.2,0.0,,167.3,,1974-08-01,26.3
165,1974,9,12.6,6.4,1.0,,109.7,,1974-09-01,19.0
166,1974,10,9.8,4.7,0.0,,75.1,,1974-10-01,14.5
167,1974,11,8.1,2.1,3.0,,62.4,,1974-11-01,10.2
168,1974,12,8.9,3.8,0.0,,23.6,,1974-12-01,12.7
169,1975,1,8.1,2.6,5.0,,44.5,,1975-01-01,10.7
