,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
8,1959,1,1.7,-5.7,27.0,,34.2,,1959-01-01,-4.0
9,1959,2,6.2,-3.2,15.0,,68.6,,1959-02-01,3.0
10,1959,3,7.6,0.8,7.0,,80.9,,1959-03-01,8.4
11,1959,4,,,,,105.0,,1959-04-01,
12,1959,5,15.6,4.6,1.0,,182.6,,1959-05-01,20.2
13,1959,6,16.4,7.2,0.0,,164.8,,1959-06-01,23.599999999999998
14,1959,7,18.0,8.5,0.0,,147.4,,1959-07-01,26.5
15,1959,8,18.6,10.1,0.0,,106.3,,1959-08-01,28.700000000000003
16,1959,9,17.0,5.4,1.0,,148.2,,1959-09-01,22.4
17,1959,10,13.2,4.8,3.0,,87.8,,1959-10-01,18.0
18,1959,11,7.0,1.3,8.0,,26.6,,1959-11-01,8.3
19,1959,12,4.7,-0.6,14.0,,8.2,,1959-12-01,4.1000000000000005
20,1960,1,3.8,-2.4,21.0,,28.5,,1960-01-01,1.4
21,1960,2,3.5,-5.6,23.0,,79.4,,1960-02-01,-2.0999999999999996
22,1960,3,5.7,0.0,11.0,,50.9,,1960-03-01,5.7
23,1960,4,10.5,2.4,6.0,,99.2,,1960-04-01,12.9
24,1960,5,15.5,3.8,3.0,,160.8,,1960-05-01,19.3
25,1960,6,18.3,8.0,0.0,,190.7,,1960-06-01,26.3
26,1960,7,16.7,7.7,0.0,,120.9,,1960-07-01,24.4
27,1960,8,15.9,7.2,0.0,,95.8,,1960-08-01,23.1
28,1960,9,14.1,5.2,3.0,,106.5,,1960-09-01,19.3
29,1960,10,9.3,5.2,0.0,,16.3,,1960-10-01,14.5
30,1960,11,6.3,-0.2,12.0,,25.9,,1960-11-01,6.1
31,1960,12,3.3,-3.3,18.0,,16.3,,1960-12-01,0.0
32,1961,1,3.3,-2.7,22.0,71.8,22.6,,1961-01-01,0.5999999999999996
33,1961,2,6.6,0.4,11.0,52.5,54.0,,1961-02-01,7.0
34,1961,3,10.1,2.6,7.0,25.1,106.3,,1961-03-01,12.7
35,1961,4,9.8,2.5,6.0,51.5,95.9,,1961-04-01,12.3
36,1961,5,13.1,3.4,3.0,36.7,199.6,,1961-05-01,16.5
37,1961,6,15.2,6.4,1.0,25.3,157.8,,1961-06-01,21.6
38,1961,7,15.9,7.7,0.0,81.3,111.5,,1961-07-01,23.6
39,1961,8,15.9,7.6,0.0,100.1,133.0,,1961-08-01,23.5
40,1961,9,15.0,7.2,0.0,97.7,80.4,,1961-09-01,22.2
41,1961,10,10.9,4.2,2.0,158.2,61.9,,1961-10-01,15.100000000000001
42,1961,11,6.0,-1.6,20.0,47.9,35.7,,1961-11-01,4.4
43,1961,12,2.1,-4.7,22.0,102.2,24.7,,1961-12-01,-2.6
44,1962,1,4.5,-1.8,17.0,116.5,23.7,,1962-01-01,2.7
45,1962,2,5.5,-1.2,15.0,87.8,51.3,,1962-02-01,4.3
46,1962,3,3.3,-4.1,25.0,49.8,83.2,,1962-03-01,-0.7999999999999998
47,1962,4,9.3,-0.5,15.0,43.2,167.6,,1962-04-01,8.8
48,1962,5,12.3,2.5,5.0,70.5,153.2,,1962-05-01,14.8
49,1962,6,15.7,6.9,0.0,43.1,,,1962-06-01,22.6
50,1962,7,,6.5,0.0,50.4,,,1962-07-01,
51,1962,8,,7.1,1.0,93.9,,,1962-08-01,
52,1962,9,12.3,6.2,1.0,134.8,,,1962-09-01,18.5
53,1962,10,11.4,5.3,3.0,42.6,,,1962-10-01,16.7
54,1962,11,5.4,-0.1,14.0,70.9,,,1962-11-01,5.300000000000001
55,1962,12,4.0,-1.9,19.0,138.3,,,1962-12-01,2.1
