,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1911,1,,,,107.7,,,1911-01-01,
8,1911,2,,,,233.6,,,1911-02-01,
9,1911,3,,,,73.5,,,1911-03-01,
10,1911,4,,,,172.4,,,1911-04-01,
11,1911,5,,,,87.9,,,1911-05-01,
12,1911,6,,,,87.3,,,1911-06-01,
13,1911,7,,,,58.7,,,1911-07-01,
14,1911,8,,,,82.0,,,1911-08-01,
15,1911,9,,,,72.1,,,1911-09-01,
16,1911,10,,,,136.3,,,1911-10-01,
17,1911,11,,,,208.8,,,1911-11-01,
18,1911,12,,,,228.9,,,1911-12-01,
19,1912,1,,,,96.6,,,1912-01-01,
20,1912,2,,,,108.9,,,1912-02-01,
21,1912,3,,,,188.1,,,1912-03-01,
22,1912,4,,,,26.0,,,1912-04-01,
23,1912,5,,,,46.8,,,1912-05-01,
24,1912,6,,,,157.9,,,1912-06-01,
25,1912,7,,,,91.9,,,1912-07-01,
26,1912,8,,,,141.1,,,1912-08-01,
27,1912,9,,,,62.3,,,1912-09-01,
28,1912,10,,,,146.3,,,1912-10-01,
29,1912,11,,,,139.2,,,1912-11-01,
30,1912,12,,,,293.8,,,1912-12-01,
31,1913,1,,,,113.9,,,1913-01-01,
32,1913,2,,,,121.0,,,1913-02-01,
33,1913,3,,,,193.2,,,1913-03-01,
34,1913,4,,,,165.6,,,1913-04-01,
35,1913,5,,,,105.2,,,1913-05-01,
36,1913,6,,,,75.4,,,1913-06-01,
37,1913,7,,,,25.3,,,1913-07-01,
38,1913,8,,,,59.9,,,1913-08-01,
39,1913,9,,,,63.6,,,1913-09-01,
40,1913,10,,,,113.5,,,1913-10-01,
41,1913,11,,,,171.1,,,1913-11-01,
42,1913,12,,,,141.1,,,1913-12-01,
43,1914,1,4.4,0.1,,129.4,,,1914-01-01,4.5
44,1914,2,6.8,1.3,,216.0,,,1914-02-01,8.1
45,1914,3,6.4,-0.1,,157.4,,,1914-03-01,6.300000000000001
46,1914,4,12.4,1.0,,78.3,,,1914-04-01,13.4
47,1914,5,12.2,3.6,,72.9,,,1914-05-01,15.799999999999999
48,1914,6,16.7,6.6,,38.3,,,1914-06-01,23.299999999999997
49,1914,7,17.7,8.8,,81.7,,,1914-07-01,26.5
50,1914,8,17.4,8.4,,90.1,,,1914-08-01,25.799999999999997
51,1914,9,14.9,5.9,,88.3,,,1914-09-01,20.8
52,1914,10,11.3,4.2,,45.1,,,1914-10-01,15.5
53,1914,11,7.6,1.9,,163.9,,,1914-11-01,9.5
54,1914,12,4.7,-0.1,,197.8,,,1914-12-01,4.6000000000000005
55,1915,1,4.1,-0.8,,87.8,,,1915-01-01,3.3
56,1915,2,4.4,-1.0,,218.4,,,1915-02-01,3.4000000000000004
57,1915,3,6.7,-1.1,,31.5,,,1915-03-01,5.6
58,1915,4,9.9,0.8,,89.3,,,1915-04-01,10.700000000000001
59,1915,5,13.3,1.8,,34.3,,,1915-05-01,15.100000000000001
60,1915,6,16.7,5.8,,31.5,,,1915-06-01,22.5
61,1915,7,16.1,7.1,,120.8,,,1915-07-01,23.200000000000003
62,1915,8,16.8,8.7,,69.3,,,1915-08-01,25.5
63,1915,9,15.0,5.5,,47.5,,,1915-09-01,20.5
64,1915,10,10.8,2.9,,59.9,,,1915-10-01,13.700000000000001
65,1915,11,4.1,-3.8,,96.9,,,1915-11-01,0.2999999999999998
66,1915,12,4.7,-0.5,,201.0,,,1915-12-01,4.2
67,1916,1,7.6,2.5,,276.7,,,1916-01-01,10.1
68,1916,2,3.9,-1.3,,171.1,,,1916-02-01,2.5999999999999996
69,1916,3,3.2,-1.8,,65.3,,,1916-03-01,1.4000000000000001
70,1916,4,9.6,1.1,,139.5,,,1916-04-01,10.7
71,1916,5,12.9,2.9,,142.2,,,1916-05-01,15.8
72,1916,6,14.2,5.1,,85.5,,,1916-06-01,19.299999999999997
73,1916,7,17.4,8.4,,156.6,,,1916-07-01,25.799999999999997
74,1916,8,18.4,8.8,,119.4,,,1916-08-01,27.2
75,1916,9,14.4,6.3,,71.0,,,1916-09-01,20.7
76,1916,10,10.6,3.4,,265.5,,,1916-10-01,14.0
77,1916,11,7.9,2.9,,164.1,,,1916-11-01,10.8
78,1916,12,3.6,-1.4,,139.5,,,1916-12-01,2.2
79,1917,1,2.0,-1.7,,116.3,,,1917-01-01,0.30000000000000004
80,1917,2,2.1,-3.8,,29.4,,,1917-02-01,-1.6999999999999997
81,1917,3,4.6,-2.9,,70.0,,,1917-03-01,1.6999999999999997
82,1917,4,6.8,-1.7,,122.7,,,1917-04-01,5.1
83,1917,5,14.2,4.1,,102.4,,,1917-05-01,18.299999999999997
84,1917,6,16.2,5.5,,81.2,,,1917-06-01,21.7
85,1917,7,18.1,7.8,,67.3,,,1917-07-01,25.900000000000002
86,1917,8,16.8,9.9,,221.6,,,1917-08-01,26.700000000000003
87,1917,9,14.6,7.3,,143.8,,,1917-09-01,21.9
88,1917,10,8.3,1.2,,193.7,,,1917-10-01,9.5
89,1917,11,8.8,3.6,,163.8,,,1917-11-01,12.4
90,1917,12,3.8,-2.5,,94.1,,,1917-12-01,1.2999999999999998
91,1918,1,3.8,-2.2,,214.2,,,1918-01-01,1.5999999999999996
92,1918,2,6.7,2.4,,217.8,,,1918-02-01,9.1
93,1918,3,6.4,-0.2,,50.5,,,1918-03-01,6.2
94,1918,4,9.4,0.4,,19.8,,,1918-04-01,9.8
95,1918,5,14.9,4.6,,80.6,,,1918-05-01,19.5
96,1918,6,15.5,4.7,,48.9,,,1918-06-01,20.2
97,1918,7,17.0,7.3,,103.6,,,1918-07-01,24.3
98,1918,8,16.7,8.9,,107.3,,,1918-08-01,25.6
99,1918,9,12.0,4.1,,241.3,,,1918-09-01,16.1
100,1918,10,10.0,3.9,,253.3,,,1918-10-01,13.9
101,1918,11,6.6,-1.3,,116.0,,,1918-11-01,5.3
102,1918,12,6.3,1.2,,170.9,,,1918-12-01,7.5
103,1919,1,3.5,-0.9,,135.2,,,1919-01-01,2.6
104,1919,2,2.9,-2.9,,18.9,,,1919-02-01,0.0
105,1919,3,3.9,-3.8,,103.9,,,1919-03-01,0.10000000000000009
106,1919,4,9.4,0.6,,75.4,,,1919-04-01,10.0
107,1919,5,16.4,5.5,,49.7,,,1919-05-01,21.9
108,1919,6,15.5,6.2,,62.8,,,1919-06-01,21.7
109,1919,7,17.1,6.1,,34.1,,,1919-07-01,23.200000000000003
110,1919,8,17.0,7.5,,111.3,,,1919-08-01,24.5
111,1919,9,13.9,5.6,,154.3,,,1919-09-01,19.5
112,1919,10,9.8,2.8,,72.6,,,1919-10-01,12.600000000000001
113,1919,11,3.6,-2.0,,137.6,,,1919-11-01,1.6
114,1919,12,5.1,0.1,,259.4,,,1919-12-01,5.199999999999999
115,1920,1,4.9,-0.7,,213.3,,,1920-01-01,4.2
116,1920,2,6.7,0.1,,171.4,,,1920-02-01,6.8
117,1920,3,7.1,1.0,,188.3,,,1920-03-01,8.1
118,1920,4,8.9,1.6,,107.7,,,1920-04-01,10.5
119,1920,5,12.8,4.2,,200.2,,,1920-05-01,17.0
120,1920,6,16.3,6.4,,70.9,,,1920-06-01,22.700000000000003
121,1920,7,14.8,8.0,,152.8,,,1920-07-01,22.8
122,1920,8,15.6,7.3,,151.6,,,1920-08-01,22.9
123,1920,9,14.1,5.7,,76.8,,,1920-09-01,19.8
124,1920,10,12.9,4.1,,53.8,,,1920-10-01,17.0
125,1920,11,8.8,3.5,,106.5,,,1920-11-01,12.3
126,1920,12,4.9,-0.3,,157.5,,,1920-12-01,4.6000000000000005
127,1921,1,7.3,1.5,,312.7,,,1921-01-01,8.8
128,1921,2,6.3,-0.4,,20.6,,,1921-02-01,5.8999999999999995
129,1921,3,7.4,1.2,,225.1,,,1921-03-01,8.6
130,1921,4,11.1,0.6,,48.5,,,1921-04-01,11.7
131,1921,5,13.2,2.6,,86.7,,,1921-05-01,15.799999999999999
132,1921,6,17.1,6.3,,23.0,,,1921-06-01,23.400000000000002
133,1921,7,19.3,9.0,,104.4,,,1921-07-01,28.3
134,1921,8,16.1,7.7,,174.5,,,1921-08-01,23.8
135,1921,9,15.2,5.8,,69.7,,,1921-09-01,21.0
136,1921,10,13.5,6.4,,118.5,,,1921-10-01,19.9
137,1921,11,6.1,-0.2,,80.7,,,1921-11-01,5.8999999999999995
138,1921,12,7.7,1.4,,249.1,,,1921-12-01,9.1
139,1922,1,3.7,-1.6,,124.6,,,1922-01-01,2.1
140,1922,2,4.5,-1.1,,143.7,,,1922-02-01,3.4
