,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
8,1914,1,5.2,0.7,,52.0,,,1914-01-01,5.9
9,1914,2,9.2,3.5,,28.0,,,1914-02-01,12.7
10,1914,3,,,,,,,1914-03-01,
11,1914,4,12.9,5.3,,18.0,,,1914-04-01,18.2
12,1914,5,13.7,7.2,,38.0,,,1914-05-01,20.9
13,1914,6,16.2,10.4,,38.0,,,1914-06-01,26.6
14,1914,7,19.8,13.0,,53.0,,,1914-07-01,32.8
15,1914,8,20.3,13.7,,17.0,,,1914-08-01,34.0
16,1914,9,17.7,11.4,,29.0,,,1914-09-01,29.1
17,1914,10,14.1,9.1,,45.0,,,1914-10-01,23.2
18,1914,11,9.9,5.0,,80.0,,,1914-11-01,14.9
19,1914,12,8.2,3.3,,141.0,,,1914-12-01,11.5
20,1915,1,6.3,2.3,,75.0,,,1915-01-01,8.6
21,1915,2,7.3,2.3,,64.0,,,1915-02-01,9.6
22,1915,3,8.3,2.3,,43.0,,,1915-03-01,10.600000000000001
23,1915,4,10.4,4.1,,25.0,,,1915-04-01,14.5
24,1915,5,12.4,6.9,,50.0,,,1915-05-01,19.3
25,1915,6,16.2,10.3,,39.0,,,1915-06-01,26.5
26,1915,7,19.0,12.0,,123.0,,,1915-07-01,31.0
27,1915,8,18.9,12.3,,29.0,,,1915-08-01,31.2
28,1915,9,17.7,11.7,,62.0,,,1915-09-01,29.4
29,1915,10,12.9,8.4,,67.0,,,1915-10-01,21.3
30,1915,11,7.9,2.6,,69.0,,,1915-11-01,10.5
31,1915,12,8.2,3.5,,91.0,,,1915-12-01,11.7
32,1916,1,9.4,4.3,,36.0,,,1916-01-01,13.7
33,1916,2,6.9,1.3,,92.0,,,1916-02-01,8.200000000000001
34,1916,3,6.5,1.7,,69.0,,,1916-03-01,8.2
35,1916,4,11.0,4.6,,45.0,,,1916-04-01,15.6
36,1916,5,14.4,8.5,,38.0,,,1916-05-01,22.9
37,1916,6,14.8,8.6,,88.0,,,1916-06-01,23.4
38,1916,7,17.3,11.5,,20.0,,,1916-07-01,28.8
39,1916,8,19.0,12.7,,75.0,,,1916-08-01,31.7
40,1916,9,16.2,10.6,,31.0,,,1916-09-01,26.799999999999997
41,1916,10,,,,,,,1916-10-01,
42,1916,11,,,,,,,1916-11-01,
43,1916,12,6.3,1.3,,75.0,,,1916-12-01,7.6
44,1917,1,4.2,0.6,,52.0,,,1917-01-01,4.8
45,1917,2,3.8,-0.8,,19.0,,,1917-02-01,3.0
46,1917,3,5.7,-0.2,,51.0,,,1917-03-01,5.5
47,1917,4,7.8,1.4,,67.0,,,1917-04-01,9.2
48,1917,5,,,,,,,1917-05-01,
49,1917,6,,,,,,,1917-06-01,
50,1917,7,,,,,,,1917-07-01,
51,1917,8,,,,,,,1917-08-01,
52,1917,9,,,,,,,1917-09-01,
53,1917,10,,,,,,,1917-10-01,
54,1917,11,,,,,,,1917-11-01,
55,1917,12,,,,,,,1917-12-01,
56,1919,1,,,,,,,1919-01-01,
57,1919,2,,,,,,,1919-02-01,
58,1919,3,,,,,,,1919-03-01,
59,1919,4,,,,,,,1919-04-01,
60,1919,5,,,,,,,1919-05-01,
61,1919,6,,,,,,,1919-06-01,
62,1919,7,,,,,,,1919-07-01,
63,1919,8,,,,,,,1919-08-01,
64,1919,9,,,,,,,1919-09-01,
65,1919,10,,,,,,,1919-10-01,
66,1919,11,,,,,,,1919-11-01,
67,1919,12,7.4,2.3,,80.0,,,1919-12-01,9.7
68,1920,1,7.8,2.3,,52.0,,,1920-01-01,10.1
69,1920,2,8.9,3.7,,9.0,,,1920-02-01,12.600000000000001
70,1920,3,10.6,3.9,,22.0,,,1920-03-01,14.5
71,1920,4,,,,,,,1920-04-01,
72,1920,5,,,,,,,1920-05-01,
73,1920,6,,,,,,,1920-06-01,
74,1920,7,,,,,,,1920-07-01,
75,1920,8,,,,,,,1920-08-01,
76,1920,9,,,,,,,1920-09-01,
77,1920,10,,,,,,,1920-10-01,
78,1920,11,,,,,,,1920-11-01,
79,1920,12,,,,,,,1920-12-01,
80,1921,1,,,,,,,1921-01-01,
81,1921,2,,,,,,,1921-02-01,
82,1921,3,11.3,4.0,,20.0,163.0,,1921-03-01,15.3
83,1921,4,,,,,225.0,,1921-04-01,
84,1921,5,14.2,8.1,,25.0,269.0,,1921-05-01,22.299999999999997
85,1921,6,16.2,10.6,,15.0,194.0,,1921-06-01,26.799999999999997
86,1921,7,20.7,13.6,,11.0,275.0,,1921-07-01,34.3
87,1921,8,20.6,13.4,,47.0,207.0,,1921-08-01,34.0
88,1921,9,19.1,11.7,,36.0,176.0,,1921-09-01,30.8
89,1921,10,17.1,10.2,,25.0,145.0,,1921-10-01,27.3
90,1921,11,8.2,3.2,,70.0,84.0,,1921-11-01,11.399999999999999
91,1921,12,8.9,3.8,,48.0,43.0,,1921-12-01,12.7
92,1922,1,5.0,1.3,,113.0,34.0,,1922-01-01,6.3
93,1922,2,6.9,1.9,,53.0,104.0,,1922-02-01,8.8
94,1922,3,7.2,2.6,,44.0,108.0,,1922-03-01,9.8
95,1922,4,8.9,2.9,,58.0,195.0,,1922-04-01,11.8
96,1922,5,16.3,8.2,,20.0,289.0,,1922-05-01,24.5
97,1922,6,17.0,10.4,,39.0,242.0,,1922-06-01,27.4
98,1922,7,17.4,11.3,,89.0,162.0,,1922-07-01,28.7
99,1922,8,18.0,10.9,,27.0,181.0,,1922-08-01,28.9
100,1922,9,16.0,10.2,,63.0,178.0,,1922-09-01,26.2
101,1922,10,12.4,7.9,,36.0,138.0,,1922-10-01,20.3
102,1922,11,8.3,3.4,,47.0,68.0,,1922-11-01,11.700000000000001
103,1922,12,7.5,3.7,,45.0,48.0,,1922-12-01,11.2
104,1923,1,7.1,2.3,,40.0,72.1,,1923-01-01,9.399999999999999
105,1923,2,7.4,3.8,,85.0,62.8,,1923-02-01,11.2
