,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1934,7,22.4,12.9,,37.1,,,1934-07-01,35.3
8,1934,8,20.8,12.1,,51.6,,,1934-08-01,32.9
9,1934,9,20.4,10.8,,25.4,,,1934-09-01,31.2
10,1934,10,14.6,8.2,,56.1,,,1934-10-01,22.799999999999997
11,1934,11,9.3,5.1,,45.2,,,1934-11-01,14.4
12,1934,12,10.1,6.5,,87.9,,,1934-12-01,16.6
13,1935,1,6.3,2.6,,51.8,51.4,,1935-01-01,8.9
14,1935,2,8.4,3.6,,51.6,62.0,,1935-02-01,12.0
15,1935,3,9.8,2.9,,2.0,139.3,,1935-03-01,12.700000000000001
16,1935,4,11.4,5.5,,64.0,160.8,,1935-04-01,16.9
17,1935,5,12.2,6.5,,53.8,228.9,,1935-05-01,18.7
18,1935,6,19.2,11.3,,62.2,240.4,,1935-06-01,30.5
19,1935,7,22.3,13.4,,4.6,317.1,,1935-07-01,35.7
20,1935,8,22.2,13.1,,74.4,235.8,,1935-08-01,35.3
21,1935,9,18.5,10.9,,80.3,178.5,,1935-09-01,29.4
22,1935,10,14.0,7.4,,52.3,130.9,,1935-10-01,21.4
23,1935,11,10.8,5.3,,109.2,67.5,,1935-11-01,16.1
24,1935,12,6.1,1.9,,46.2,38.0,,1935-12-01,8.0
25,1936,1,7.3,3.1,,79.5,39.4,,1936-01-01,10.4
26,1936,2,5.8,0.9,,52.6,97.4,,1936-02-01,6.7
27,1936,3,10.3,4.4,,22.9,124.0,,1936-03-01,14.700000000000001
28,1936,4,9.7,3.9,,34.8,163.0,,1936-04-01,13.6
29,1936,5,14.4,8.0,,4.3,205.5,,1936-05-01,22.4
30,1936,6,19.7,11.2,,61.7,239.9,,1936-06-01,30.9
31,1936,7,19.7,12.2,,103.9,213.4,,1936-07-01,31.9
32,1936,8,20.6,12.6,,28.2,190.9,,1936-08-01,33.2
33,1936,9,18.6,12.2,,85.1,113.4,,1936-09-01,30.8
34,1936,10,13.2,6.8,,52.3,130.0,,1936-10-01,20.0
35,1936,11,9.2,4.2,,91.2,46.2,,1936-11-01,13.399999999999999
36,1936,12,7.9,2.8,,43.2,86.6,,1936-12-01,10.7
37,1937,1,7.7,3.3,,100.8,61.0,,1937-01-01,11.0
38,1937,2,8.9,3.8,,89.4,76.7,,1937-02-01,12.7
39,1937,3,7.3,1.7,,88.9,130.1,,1937-03-01,9.0
40,1937,4,12.1,6.2,,53.6,116.8,,1937-04-01,18.3
41,1937,5,15.9,8.8,,83.6,184.1,,1937-05-01,24.700000000000003
42,1937,6,19.1,10.8,,57.4,237.6,,1937-06-01,29.900000000000002
43,1937,7,20.9,13.2,,22.1,155.7,,1937-07-01,34.099999999999994
44,1937,8,21.5,13.9,,39.4,194.6,,1937-08-01,35.4
45,1937,9,19.0,10.5,,67.3,176.1,,1937-09-01,29.5
46,1937,10,14.7,8.9,,70.1,102.7,,1937-10-01,23.6
47,1937,11,9.2,3.8,,30.0,82.1,,1937-11-01,13.0
48,1937,12,5.9,2.2,,133.6,27.4,,1937-12-01,8.100000000000001
49,1938,1,8.4,3.4,,66.3,51.8,,1938-01-01,11.8
50,1938,2,7.5,2.2,,15.5,99.0,,1938-02-01,9.7
51,1938,3,14.0,4.2,,13.2,209.0,,1938-03-01,18.2
52,1938,4,10.8,3.3,,17.3,176.5,,1938-04-01,14.100000000000001
53,1938,5,14.1,6.7,,48.5,189.2,,1938-05-01,20.8
54,1938,6,19.8,10.5,,32.0,254.2,,1938-06-01,30.3
55,1938,7,19.9,11.2,,64.0,205.9,,1938-07-01,31.099999999999998
56,1938,8,20.2,12.8,,68.3,195.3,,1938-08-01,33.0
57,1938,9,18.6,11.7,,62.0,154.1,,1938-09-01,30.3
58,1938,10,14.3,7.2,,70.1,136.3,,1938-10-01,21.5
59,1938,11,12.3,7.1,,52.8,47.2,,1938-11-01,19.4
