,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1959,1,3.5,-3.3,23.0,,76.9,,1959-01-01,0.20000000000000018
8,1959,2,7.4,0.5,13.0,,70.3,,1959-02-01,7.9
9,1959,3,9.5,2.9,3.0,,85.5,,1959-03-01,12.4
10,1959,4,11.4,3.7,2.0,,129.1,,1959-04-01,15.100000000000001
11,1959,5,17.9,6.6,1.0,,230.3,,1959-05-01,24.5
12,1959,6,18.0,9.2,0.0,,196.4,,1959-06-01,27.2
13,1959,7,19.3,10.4,0.0,,196.3,,1959-07-01,29.700000000000003
14,1959,8,20.0,10.6,0.0,,173.2,,1959-08-01,30.6
15,1959,9,18.5,7.3,0.0,,168.7,,1959-09-01,25.8
16,1959,10,15.4,7.2,1.0,,120.8,,1959-10-01,22.6
17,1959,11,8.9,3.6,5.0,,41.7,,1959-11-01,12.5
18,1959,12,7.2,2.1,2.0,,20.3,,1959-12-01,9.3
19,1960,1,5.5,-0.4,17.0,,42.0,,1960-01-01,5.1
20,1960,2,5.4,-0.7,19.0,,84.4,,1960-02-01,4.7
21,1960,3,8.0,2.4,3.0,,91.9,,1960-03-01,10.4
22,1960,4,12.2,3.9,4.0,,162.7,,1960-04-01,16.099999999999998
23,1960,5,16.5,6.4,0.0,,218.8,,1960-05-01,22.9
24,1960,6,20.3,9.1,0.0,,265.3,,1960-06-01,29.4
25,1960,7,17.5,10.0,0.0,,140.3,,1960-07-01,27.5
26,1960,8,17.6,8.9,0.0,,159.1,,1960-08-01,26.5
27,1960,9,15.5,7.7,0.0,,128.1,,1960-09-01,23.2
28,1960,10,12.5,5.8,2.0,,71.5,,1960-10-01,18.3
29,1960,11,8.3,2.4,6.0,,52.6,,1960-11-01,10.700000000000001
30,1960,12,5.5,-0.5,19.0,,53.6,,1960-12-01,5.0
31,1961,1,5.1,-0.5,13.0,150.9,42.2,,1961-01-01,4.6
32,1961,2,8.5,2.6,4.0,71.1,76.7,,1961-02-01,11.1
33,1961,3,10.8,4.5,1.0,21.3,119.8,,1961-03-01,15.3
