,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1853,1,8.4,2.7,4.0,62.8,,,1853-01-01,11.100000000000001
8,1853,2,3.2,-1.8,19.0,29.3,,,1853-02-01,1.4000000000000001
9,1853,3,7.7,-0.6,20.0,25.9,,,1853-03-01,7.1000000000000005
10,1853,4,12.6,4.5,0.0,60.1,,,1853-04-01,17.1
11,1853,5,16.8,6.1,0.0,59.5,,,1853-05-01,22.9
12,1853,6,20.1,10.7,0.0,82.0,,,1853-06-01,30.8
13,1853,7,21.2,12.2,0.0,86.2,,,1853-07-01,33.4
14,1853,8,20.2,10.8,0.0,72.3,,,1853-08-01,31.0
15,1853,9,17.3,8.4,0.0,51.3,,,1853-09-01,25.700000000000003
16,1853,10,13.9,7.4,0.0,102.3,,,1853-10-01,21.3
17,1853,11,8.7,2.3,10.0,49.6,,,1853-11-01,11.0
18,1853,12,3.7,-1.3,19.0,10.7,,,1853-12-01,2.4000000000000004
19,1854,1,6.7,1.5,11.0,54.5,,,1854-01-01,8.2
20,1854,2,8.0,0.6,12.0,22.6,,,1854-02-01,8.6
21,1854,3,11.2,2.2,8.0,10.6,,,1854-03-01,13.399999999999999
22,1854,4,15.0,3.5,2.0,19.9,,,1854-04-01,18.5
23,1854,5,16.2,5.7,1.0,82.1,,,1854-05-01,21.9
24,1854,6,18.6,9.7,0.0,45.2,,,1854-06-01,28.3
25,1854,7,21.7,11.6,0.0,37.2,,,1854-07-01,33.3
26,1854,8,20.9,10.7,0.0,45.4,,,1854-08-01,31.599999999999998
27,1854,9,20.2,8.4,0.0,11.4,,,1854-09-01,28.6
28,1854,10,13.9,5.6,2.0,57.7,,,1854-10-01,19.5
29,1854,11,8.2,2.0,5.0,32.4,,,1854-11-01,10.2
30,1854,12,8.3,2.1,8.0,30.7,,,1854-12-01,10.4
31,1855,1,4.4,-0.4,18.0,6.9,,,1855-01-01,4.0
32,1855,2,1.7,-4.5,20.0,33.7,,,1855-02-01,-2.8
33,1855,3,7.7,0.1,15.0,56.0,,,1855-03-01,7.8
34,1855,4,13.0,2.7,9.0,10.6,,,1855-04-01,15.7
35,1855,5,15.0,4.9,3.0,45.1,,,1855-05-01,19.9
36,1855,6,19.4,9.3,0.0,60.0,,,1855-06-01,28.7
37,1855,7,22.8,13.4,0.0,129.3,,,1855-07-01,36.2
38,1855,8,21.7,12.2,0.0,42.6,,,1855-08-01,33.9
39,1855,9,19.0,10.4,0.0,59.7,,,1855-09-01,29.4
40,1855,10,14.0,8.2,0.0,143.1,,,1855-10-01,22.2
41,1855,11,7.9,3.4,4.0,25.2,,,1855-11-01,11.3
42,1855,12,5.7,-0.1,13.0,28.1,,,1855-12-01,5.6000000000000005
43,1856,1,6.8,2.0,10.0,74.7,,,1856-01-01,8.8
44,1856,2,8.2,3.0,8.0,33.4,,,1856-02-01,11.2
45,1856,3,7.9,0.6,11.0,23.9,,,1856-03-01,8.5
46,1856,4,12.9,4.1,2.0,64.9,,,1856-04-01,17.0
47,1856,5,14.0,5.7,2.0,110.1,,,1856-05-01,19.7
48,1856,6,20.2,9.5,0.0,64.8,,,1856-06-01,29.7
49,1856,7,22.2,11.3,0.0,15.8,,,1856-07-01,33.5
50,1856,8,22.7,12.5,0.0,81.8,,,1856-08-01,35.2
51,1856,9,16.8,8.5,0.0,80.3,,,1856-09-01,25.3
52,1856,10,13.9,6.9,1.0,60.3,,,1856-10-01,20.8
53,1856,11,8.1,2.3,8.0,24.2,,,1856-11-01,10.399999999999999
54,1856,12,7.3,1.4,12.0,52.0,,,1856-12-01,8.7
55,1857,1,5.1,-0.6,17.0,80.7,,,1857-01-01,4.5
56,1857,2,7.6,0.4,11.0,8.2,,,1857-02-01,8.0
57,1857,3,9.1,1.8,10.0,39.2,,,1857-03-01,10.9
58,1857,4,11.9,3.7,3.0,51.3,,,1857-04-01,15.600000000000001
59,1857,5,16.5,6.3,4.0,30.3,,,1857-05-01,22.8
60,1857,6,22.0,10.6,0.0,77.0,,,1857-06-01,32.6
61,1857,7,22.0,12.7,0.0,80.5,,,1857-07-01,34.7
62,1857,8,22.8,13.2,0.0,93.5,,,1857-08-01,36.0
63,1857,9,19.0,11.2,0.0,99.0,,,1857-09-01,30.2
64,1857,10,14.6,7.8,0.0,116.3,,,1857-10-01,22.4
65,1857,11,10.2,4.5,2.0,42.6,,,1857-11-01,14.7
66,1857,12,9.6,4.5,3.0,16.8,,,1857-12-01,14.1
67,1858,1,6.4,-0.1,20.0,17.3,,,1858-01-01,6.300000000000001
68,1858,2,4.7,-1.2,18.0,45.0,,,1858-02-01,3.5
69,1858,3,9.4,1.1,12.0,20.4,,,1858-03-01,10.5
70,1858,4,13.1,4.0,2.0,90.1,,,1858-04-01,17.1
71,1858,5,15.9,6.2,0.0,59.5,,,1858-05-01,22.1
72,1858,6,23.6,11.9,0.0,40.4,,,1858-06-01,35.5
73,1858,7,20.8,10.6,0.0,58.3,,,1858-07-01,31.4
74,1858,8,21.4,11.3,0.0,36.4,,,1858-08-01,32.7
75,1858,9,19.5,11.2,0.0,63.4,,,1858-09-01,30.7
76,1858,10,13.4,6.9,0.0,50.4,,,1858-10-01,20.3
77,1858,11,7.4,0.8,12.0,17.9,,,1858-11-01,8.200000000000001
78,1858,12,7.2,2.4,2.0,54.5,,,1858-12-01,9.6
79,1859,1,7.5,1.8,9.0,20.8,,,1859-01-01,9.3
80,1859,2,9.4,2.7,5.0,43.1,,,1859-02-01,12.100000000000001
81,1859,3,11.2,4.7,4.0,38.2,,,1859-03-01,15.899999999999999
82,1859,4,12.3,3.5,8.0,63.9,,,1859-04-01,15.8
83,1859,5,16.6,6.7,0.0,47.3,,,1859-05-01,23.3
84,1859,6,20.7,11.1,0.0,57.4,,,1859-06-01,31.799999999999997
85,1859,7,25.1,13.7,0.0,71.2,,,1859-07-01,38.8
