,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1946,1,,,,,33.2,,1946-01-01,
8,1946,2,,,,,58.2,,1946-02-01,
9,1946,3,,,,,109.8,,1946-03-01,
10,1946,4,,,,,136.3,,1946-04-01,
11,1946,5,,,,,216.1,,1946-05-01,
12,1946,6,,,,,142.8,,1946-06-01,
13,1946,7,,,,,162.7,,1946-07-01,
14,1946,8,,,,,126.0,,1946-08-01,
15,1946,9,,,,,89.8,,1946-09-01,
16,1946,10,,,,,78.3,,1946-10-01,
17,1946,11,,,,,24.1,,1946-11-01,
18,1946,12,,,,,27.8,,1946-12-01,
19,1947,1,,,,,44.3,,1947-01-01,
20,1947,2,,,,,35.7,,1947-02-01,
21,1947,3,,,,,64.0,,1947-03-01,
22,1947,4,,,,,133.6,,1947-04-01,
23,1947,5,,,,,182.8,,1947-05-01,
24,1947,6,,,,,168.7,,1947-06-01,
25,1947,7,,,,,131.3,,1947-07-01,
26,1947,8,,,,,258.8,,1947-08-01,
27,1947,9,,,,,113.2,,1947-09-01,
28,1947,10,,,,,101.3,,1947-10-01,
29,1947,11,,,,,65.0,,1947-11-01,
30,1947,12,,,,,16.4,,1947-12-01,
31,1948,1,,,,,36.4,,1948-01-01,
32,1948,2,,,,,55.5,,1948-02-01,
33,1948,3,,,,,168.9,,1948-03-01,
34,1948,4,,,,,163.5,,1948-04-01,
35,1948,5,,,,,245.3,,1948-05-01,
36,1948,6,,,,,160.8,,1948-06-01,
37,1948,7,,,,,169.6,,1948-07-01,
38,1948,8,,,,,88.8,,1948-08-01,
39,1948,9,,,,,68.8,,1948-09-01,
40,1948,10,,,,,85.4,,1948-10-01,
41,1948,11,,,,,53.5,,1948-11-01,
42,1948,12,,,,,52.9,,1948-12-01,
43,1949,1,7.9,2.0,6.0,,41.5,,1949-01-01,4.95
44,1949,2,9.1,2.1,7.0,,97.2,,1949-02-01,5.6
45,1949,3,8.7,0.3,13.0,,115.3,,1949-03-01,4.5
46,1949,4,13.5,4.9,0.0,,146.1,,1949-04-01,9.2
47,1949,5,15.9,5.7,0.0,,230.6,,1949-05-01,10.8
48,1949,6,20.6,8.8,0.0,,242.1,,1949-06-01,14.700000000000001
49,1949,7,22.1,11.5,0.0,,184.0,,1949-07-01,16.8
50,1949,8,21.4,11.5,0.0,,189.6,,1949-08-01,16.45
51,1949,9,20.6,11.3,0.0,,165.3,,1949-09-01,15.950000000000001
52,1949,10,14.8,7.9,2.0,,80.0,,1949-10-01,11.350000000000001
53,1949,11,8.9,3.4,2.0,,35.3,,1949-11-01,6.15
54,1949,12,8.3,2.4,4.0,,31.7,,1949-12-01,5.3500000000000005
55,1950,1,6.9,1.4,14.0,,30.5,,1950-01-01,4.15
56,1950,2,8.4,1.6,6.0,,46.5,,1950-02-01,5.0
57,1950,3,11.4,3.0,5.0,,114.5,,1950-03-01,7.2
58,1950,4,11.0,3.1,3.0,,130.4,,1950-04-01,7.05
59,1950,5,15.8,6.1,0.0,,166.9,,1950-05-01,10.95
60,1950,6,20.7,10.4,0.0,,213.6,,1950-06-01,15.55
61,1950,7,19.9,11.3,0.0,,172.5,,1950-07-01,15.6
62,1950,8,19.6,11.1,0.0,,142.4,,1950-08-01,15.350000000000001
63,1950,9,16.3,9.0,0.0,,92.7,,1950-09-01,12.65
64,1950,10,12.6,5.9,3.0,,89.7,,1950-10-01,9.25
65,1950,11,8.1,2.0,6.0,,38.4,,1950-11-01,5.05
66,1950,12,3.2,-2.6,23.0,,27.1,,1950-12-01,0.30000000000000004
67,1951,1,5.7,0.7,8.0,,29.5,,1951-01-01,3.2
68,1951,2,6.4,0.1,12.0,,42.5,,1951-02-01,3.25
69,1951,3,7.0,0.3,12.0,,74.9,,1951-03-01,3.65
70,1951,4,10.7,2.6,2.0,,178.3,,1951-04-01,6.6499999999999995
71,1951,5,14.1,5.9,1.0,,170.7,,1951-05-01,10.0
72,1951,6,18.7,8.8,0.0,,226.5,,1951-06-01,13.75
73,1951,7,19.8,11.5,0.0,,174.1,,1951-07-01,15.65
74,1951,8,18.0,10.8,0.0,,127.1,,1951-08-01,14.4
75,1951,9,17.8,10.4,0.0,,107.6,,1951-09-01,14.100000000000001
76,1951,10,13.7,6.0,3.0,,120.2,,1951-10-01,9.85
77,1951,11,11.1,5.3,1.0,,40.5,,1951-11-01,8.2
78,1951,12,8.1,1.6,8.0,,39.6,,1951-12-01,4.85
79,1952,1,5.2,-0.7,15.0,,49.6,,1952-01-01,2.25
80,1952,2,6.4,0.0,11.0,,70.0,,1952-02-01,3.2
81,1952,3,9.1,3.6,7.0,,84.6,,1952-03-01,6.35
82,1952,4,14.1,4.8,2.0,,142.3,,1952-04-01,9.45
83,1952,5,17.3,8.9,0.0,,168.9,,1952-05-01,13.100000000000001
84,1952,6,17.8,9.4,0.0,,145.8,,1952-06-01,13.600000000000001
85,1952,7,19.8,12.3,0.0,,131.3,,1952-07-01,16.05
86,1952,8,19.6,11.5,0.0,,126.7,,1952-08-01,15.55
87,1952,9,14.1,6.7,0.0,,91.1,,1952-09-01,10.4
88,1952,10,12.0,5.3,5.0,,91.5,,1952-10-01,8.65
89,1952,11,6.7,0.7,14.0,,53.3,,1952-11-01,3.7
90,1952,12,5.6,0.1,12.0,,28.8,,1952-12-01,2.8499999999999996
91,1953,1,5.7,0.6,14.0,,10.6,,1953-01-01,3.15
92,1953,2,7.5,1.2,12.0,,38.9,,1953-02-01,4.35
93,1953,3,11.5,0.7,12.0,,140.3,,1953-03-01,6.1
94,1953,4,11.6,2.7,2.0,,172.8,,1953-04-01,7.15
95,1953,5,17.5,8.0,0.0,,213.6,,1953-05-01,12.75
96,1953,6,18.7,10.1,0.0,,142.9,,1953-06-01,14.399999999999999
97,1953,7,19.2,11.3,0.0,,180.4,,1953-07-01,15.25
98,1953,8,20.0,11.6,0.0,,163.5,,1953-08-01,15.8
99,1953,9,17.5,10.2,0.0,,137.4,,1953-09-01,13.85
100,1953,10,13.5,5.6,1.0,,85.0,,1953-10-01,9.55
101,1953,11,10.9,5.8,0.0,,45.1,,1953-11-01,8.35
102,1953,12,8.9,4.0,2.0,,23.2,,1953-12-01,6.45
103,1954,1,5.2,-0.1,15.0,,35.9,,1954-01-01,2.5500000000000003
104,1954,2,5.3,-0.5,11.0,,53.7,,1954-02-01,2.4
