,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
8,1855,1,5.0,0.5,16.0,,,,1855-01-01,5.5
9,1855,2,2.4,-3.5,21.0,54.3,,,1855-02-01,-1.1
10,1855,3,7.9,0.8,12.0,61.3,,,1855-03-01,8.700000000000001
11,1855,4,13.7,3.6,4.0,10.1,,,1855-04-01,17.3
12,1855,5,15.0,5.6,2.0,60.0,,,1855-05-01,20.6
13,1855,6,18.4,9.8,0.0,43.9,,,1855-06-01,28.2
14,1855,7,21.5,12.6,0.0,101.0,,,1855-07-01,34.1
15,1855,8,21.6,12.3,0.0,47.9,,,1855-08-01,33.900000000000006
16,1855,9,19.6,9.6,0.0,88.4,,,1855-09-01,29.200000000000003
17,1855,10,15.1,8.4,0.0,187.5,,,1855-10-01,23.5
18,1855,11,8.7,3.6,3.0,28.2,,,1855-11-01,12.299999999999999
19,1855,12,6.8,1.0,15.0,55.4,,,1855-12-01,7.8
20,1856,1,7.9,2.8,10.0,93.5,,,1856-01-01,10.7
21,1856,2,9.0,3.6,7.0,50.6,,,1856-02-01,12.6
22,1856,3,8.9,1.4,10.0,36.3,,,1856-03-01,10.3
23,1856,4,13.3,4.5,2.0,127.3,,,1856-04-01,17.8
24,1856,5,15.2,6.4,2.0,55.7,,,1856-05-01,21.6
25,1856,6,19.7,10.2,0.0,40.3,,,1856-06-01,29.9
26,1856,7,21.0,11.6,0.0,16.5,,,1856-07-01,32.6
27,1856,8,22.6,13.3,0.0,64.7,,,1856-08-01,35.900000000000006
28,1856,9,18.1,8.8,0.0,67.6,,,1856-09-01,26.900000000000002
29,1856,10,15.6,8.9,0.0,74.5,,,1856-10-01,24.5
30,1856,11,10.0,2.4,7.0,38.7,,,1856-11-01,12.4
31,1856,12,8.3,2.3,12.0,87.1,,,1856-12-01,10.600000000000001
32,1857,1,6.9,0.5,14.0,72.3,,,1857-01-01,7.4
33,1857,2,8.6,1.0,11.0,10.6,,,1857-02-01,9.6
34,1857,3,10.0,2.6,8.0,54.4,,,1857-03-01,12.6
35,1857,4,12.3,4.4,3.0,60.7,,,1857-04-01,16.700000000000003
36,1857,5,17.6,7.7,0.0,19.0,,,1857-05-01,25.3
37,1857,6,22.3,11.3,0.0,38.2,,,1857-06-01,33.6
38,1857,7,22.1,12.8,0.0,43.7,,,1857-07-01,34.900000000000006
39,1857,8,24.1,14.0,0.0,66.3,,,1857-08-01,38.1
40,1857,9,20.4,11.9,0.0,93.6,,,1857-09-01,32.3
41,1857,10,16.5,9.7,0.0,191.4,,,1857-10-01,26.2
42,1857,11,12.0,6.1,1.0,57.1,,,1857-11-01,18.1
43,1857,12,11.2,5.6,2.0,25.0,,,1857-12-01,16.799999999999997
44,1858,1,8.1,1.1,12.0,27.0,,,1858-01-01,9.2
45,1858,2,6.6,0.3,13.0,33.1,,,1858-02-01,6.8999999999999995
46,1858,3,9.9,1.6,13.0,22.9,,,1858-03-01,11.5
47,1858,4,14.0,5.2,2.0,94.1,,,1858-04-01,19.2
48,1858,5,16.0,6.9,0.0,65.7,,,1858-05-01,22.9
49,1858,6,23.6,12.3,0.0,14.1,,,1858-06-01,35.900000000000006
50,1858,7,20.9,10.9,0.0,69.6,,,1858-07-01,31.799999999999997
51,1858,8,21.8,12.1,0.0,55.5,,,1858-08-01,33.9
52,1858,9,20.2,12.2,0.0,75.2,,,1858-09-01,32.4
53,1858,10,15.0,7.7,0.0,66.2,,,1858-10-01,22.7
54,1858,11,8.4,1.8,7.0,50.1,,,1858-11-01,10.200000000000001
55,1858,12,8.5,3.2,3.0,116.6,,,1858-12-01,11.7
56,1859,1,8.3,2.5,7.0,59.6,,,1859-01-01,10.8
57,1859,2,10.4,3.6,2.0,78.3,,,1859-02-01,14.0
58,1859,3,12.5,5.5,2.0,49.7,,,1859-03-01,18.0
59,1859,4,13.3,4.2,4.0,92.4,,,1859-04-01,17.5
60,1859,5,17.2,7.9,0.0,36.8,,,1859-05-01,25.1
61,1859,6,21.0,11.7,0.0,45.7,,,1859-06-01,32.7
62,1859,7,25.1,14.5,0.0,66.6,,,1859-07-01,39.6
63,1859,8,22.3,13.1,0.0,58.3,,,1859-08-01,35.4
64,1859,9,18.1,10.5,0.0,135.3,,,1859-09-01,28.6
65,1859,10,15.0,8.3,5.0,119.8,,,1859-10-01,23.3
66,1859,11,10.5,3.3,5.0,125.1,,,1859-11-01,13.8
67,1859,12,6.1,-0.4,16.0,127.1,,,1859-12-01,5.699999999999999
68,1860,1,8.4,2.5,8.0,129.2,,,1860-01-01,10.9
69,1860,2,6.0,-0.4,15.0,29.3,,,1860-02-01,5.6
70,1860,3,9.3,2.8,8.0,59.3,,,1860-03-01,12.100000000000001
71,1860,4,11.4,3.0,4.0,47.6,,,1860-04-01,14.4
72,1860,5,17.4,8.1,0.0,88.7,,,1860-05-01,25.5
73,1860,6,16.6,10.1,0.0,205.0,,,1860-06-01,26.700000000000003
74,1860,7,19.5,11.1,0.0,84.7,,,1860-07-01,30.6
75,1860,8,18.2,12.0,0.0,115.0,,,1860-08-01,30.2
76,1860,9,16.5,8.6,0.0,99.2,,,1860-09-01,25.1
77,1860,10,14.3,8.1,1.0,53.2,,,1860-10-01,22.4
78,1860,11,8.8,2.9,2.0,80.2,,,1860-11-01,11.700000000000001
79,1860,12,5.5,0.7,13.0,127.7,,,1860-12-01,6.2
80,1861,1,4.8,-0.4,17.0,20.7,,,1861-01-01,4.3999999999999995
81,1861,2,8.9,3.2,6.0,60.2,,,1861-02-01,12.100000000000001
82,1861,3,10.9,3.7,1.0,76.4,,,1861-03-01,14.600000000000001
83,1861,4,13.7,3.4,3.0,10.2,,,1861-04-01,17.099999999999998
84,1861,5,16.9,6.8,0.0,41.3,,,1861-05-01,23.7
85,1861,6,20.4,11.9,0.0,100.8,,,1861-06-01,32.3
86,1861,7,19.7,12.6,0.0,103.5,,,1861-07-01,32.3
87,1861,8,21.4,12.9,0.0,22.2,,,1861-08-01,34.3
88,1861,9,18.4,10.0,0.0,78.0,,,1861-09-01,28.4
89,1861,10,17.2,10.7,0.0,27.7,,,1861-10-01,27.9
90,1861,11,9.4,1.9,7.0,164.3,,,1861-11-01,11.3
91,1861,12,8.4,2.8,6.0,53.2,,,1861-12-01,11.2
92,1862,1,7.2,2.3,9.0,104.0,,,1862-01-01,9.5
93,1862,2,8.5,3.8,3.0,20.1,,,1862-02-01,12.3
