,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1873,7,16.7,9.9,0.0,110.5,,,1873-07-01,13.3
8,1873,8,15.5,8.9,0.0,141.0,,,1873-08-01,12.2
9,1873,9,12.2,5.9,0.0,100.7,,,1873-09-01,9.05
10,1873,10,9.0,2.4,2.0,164.1,,,1873-10-01,5.7
11,1873,11,7.6,2.1,3.0,91.9,,,1873-11-01,4.85
12,1873,12,8.7,2.8,5.0,131.8,,,1873-12-01,5.75
13,1874,1,6.6,1.1,11.0,171.6,,,1874-01-01,3.8499999999999996
14,1874,2,7.1,2.0,5.0,45.2,,,1874-02-01,4.55
15,1874,3,8.2,3.1,5.0,130.3,,,1874-03-01,5.6499999999999995
16,1874,4,11.0,3.8,1.0,81.9,,,1874-04-01,7.4
17,1874,5,11.9,4.5,0.0,69.8,,,1874-05-01,8.2
18,1874,6,15.0,7.6,0.0,78.6,,,1874-06-01,11.3
19,1874,7,17.6,10.3,0.0,78.5,,,1874-07-01,13.950000000000001
20,1874,8,15.1,8.7,0.0,112.1,,,1874-08-01,11.899999999999999
21,1874,9,12.9,6.9,0.0,132.7,,,1874-09-01,9.9
22,1874,10,10.1,3.9,0.0,216.5,,,1874-10-01,7.0
23,1874,11,7.6,3.0,3.0,132.0,,,1874-11-01,5.3
24,1874,12,3.0,-2.2,28.0,103.7,,,1874-12-01,0.3999999999999999
25,1875,1,6.9,2.1,6.0,186.6,,,1875-01-01,4.5
26,1875,2,5.1,0.7,7.0,56.3,,,1875-02-01,2.9
27,1875,3,7.7,1.8,6.0,25.8,,,1875-03-01,4.75
28,1875,4,11.2,2.7,2.0,74.7,,,1875-04-01,6.949999999999999
29,1875,5,13.2,6.6,0.0,90.3,,,1875-05-01,9.899999999999999
30,1875,6,14.8,6.4,0.0,74.2,,,1875-06-01,10.600000000000001
31,1875,7,16.2,8.0,0.0,63.7,,,1875-07-01,12.1
32,1875,8,16.1,9.6,0.0,96.8,,,1875-08-01,12.850000000000001
33,1875,9,14.5,7.8,0.0,54.1,,,1875-09-01,11.15
34,1875,10,10.4,4.9,1.0,80.7,,,1875-10-01,7.65
35,1875,11,6.5,1.4,12.0,113.8,,,1875-11-01,3.95
36,1875,12,7.0,1.9,8.0,121.7,,,1875-12-01,4.45
37,1876,1,7.3,2.0,10.0,142.7,,,1876-01-01,4.65
38,1876,2,4.5,-0.4,12.0,135.5,,,1876-02-01,2.05
39,1876,3,5.6,-0.2,12.0,145.2,,,1876-03-01,2.6999999999999997
40,1876,4,8.5,2.7,7.0,99.0,,,1876-04-01,5.6
41,1876,5,12.9,4.9,1.0,54.5,,,1876-05-01,8.9
42,1876,6,15.2,8.4,0.0,108.3,,,1876-06-01,11.8
43,1876,7,16.2,9.8,0.0,48.8,,,1876-07-01,13.0
44,1876,8,16.3,9.3,0.0,58.7,,,1876-08-01,12.8
45,1876,9,12.5,7.0,0.0,73.4,,,1876-09-01,9.75
46,1876,10,11.3,6.3,0.0,137.0,,,1876-10-01,8.8
47,1876,11,7.9,3.2,6.0,76.3,,,1876-11-01,5.550000000000001
48,1876,12,6.4,2.5,7.0,68.3,,,1876-12-01,4.45
49,1877,1,5.5,0.0,12.0,137.0,,,1877-01-01,2.75
50,1877,2,5.7,0.6,8.0,163.5,,,1877-02-01,3.15
51,1877,3,6.7,0.4,14.0,86.3,,,1877-03-01,3.5500000000000003
52,1877,4,8.4,1.8,6.0,45.0,,,1877-04-01,5.1000000000000005
53,1877,5,10.7,4.0,5.0,89.5,,,1877-05-01,7.35
54,1877,6,14.8,7.6,0.0,132.1,,,1877-06-01,11.2
55,1877,7,15.1,9.0,0.0,102.5,,,1877-07-01,12.05
56,1877,8,14.2,8.6,0.0,76.0,,,1877-08-01,11.399999999999999
57,1877,9,12.7,6.2,0.0,42.3,,,1877-09-01,9.45
58,1877,10,10.1,4.2,4.0,201.4,,,1877-10-01,7.15
59,1877,11,7.4,1.6,6.0,203.8,,,1877-11-01,4.5
60,1877,12,6.7,1.4,12.0,172.7,,,1877-12-01,4.05
61,1878,1,5.9,0.6,10.0,131.5,,,1878-01-01,3.25
62,1878,2,8.3,3.5,2.0,60.0,,,1878-02-01,5.9
63,1878,3,6.5,1.5,11.0,91.5,,,1878-03-01,4.0
64,1878,4,10.3,4.3,2.0,23.7,,,1878-04-01,7.300000000000001
65,1878,5,12.4,5.9,0.0,57.7,,,1878-05-01,9.15
66,1878,6,14.6,8.5,0.0,61.7,,,1878-06-01,11.55
67,1878,7,16.5,10.9,0.0,41.3,,,1878-07-01,13.7
68,1878,8,16.9,10.4,0.0,37.3,,,1878-08-01,13.649999999999999
69,1878,9,13.9,8.7,0.0,106.4,,,1878-09-01,11.3
70,1878,10,11.3,6.7,1.0,129.2,,,1878-10-01,9.0
71,1878,11,5.9,1.5,7.0,96.1,,,1878-11-01,3.7
72,1878,12,3.1,-1.0,20.0,94.5,,,1878-12-01,1.05
73,1879,1,3.7,0.0,15.0,34.7,,,1879-01-01,1.85
74,1879,2,4.6,0.6,10.0,35.7,,,1879-02-01,2.5999999999999996
75,1879,3,5.5,0.1,13.0,88.1,,,1879-03-01,2.8
76,1879,4,7.3,2.2,2.0,26.9,,,1879-04-01,4.75
77,1879,5,10.0,4.2,1.0,45.5,,,1879-05-01,7.1
78,1879,6,13.3,8.0,0.0,28.5,,,1879-06-01,10.65
79,1879,7,13.5,9.5,0.0,67.8,,,1879-07-01,11.5
80,1879,8,14.4,9.6,0.0,127.7,,,1879-08-01,12.0
81,1879,9,12.8,7.5,0.0,114.8,,,1879-09-01,10.15
82,1879,10,10.2,4.4,0.0,69.2,,,1879-10-01,7.3
83,1879,11,7.4,3.1,3.0,68.9,,,1879-11-01,5.25
84,1879,12,6.3,0.8,10.0,80.3,,,1879-12-01,3.55
85,1880,1,,,,,,,1880-01-01,
86,1880,2,7.4,3.0,2.0,113.2,,,1880-02-01,5.2
87,1880,3,8.6,2.6,1.0,23.3,,,1880-03-01,5.6
88,1880,4,9.3,3.9,0.0,52.3,,,1880-04-01,6.6000000000000005
89,1880,5,11.2,5.7,0.0,48.6,,,1880-05-01,8.45
90,1880,6,14.4,8.3,0.0,43.3,,,1880-06-01,11.350000000000001
91,1880,7,15.7,10.5,0.0,34.5,,,1880-07-01,13.1
92,1880,8,18.5,11.9,0.0,17.9,,,1880-08-01,15.2
93,1880,9,15.5,10.0,0.0,85.2,,,1880-09-01,12.75
94,1880,10,8.9,2.3,9.0,124.4,,,1880-10-01,5.6
95,1880,11,7.3,1.6,12.0,139.7,,,1880-11-01,4.45
96,1880,12,5.1,0.0,16.0,82.2,,,1880-12-01,2.55
