,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1928,1,,,,,42.8,,1928-01-01,
8,1928,2,,,,,59.2,,1928-02-01,
9,1928,3,,,,,96.4,,1928-03-01,
10,1928,4,,,,,183.6,,1928-04-01,
11,1928,5,,,,,249.6,,1928-05-01,
12,1928,6,,,,,258.3,,1928-06-01,
13,1928,7,,,,,105.7,,1928-07-01,
14,1928,8,,,,,173.0,,1928-08-01,
15,1928,9,,,,,145.2,,1928-09-01,
16,1928,10,,,,,66.3,,1928-10-01,
17,1928,11,,,,,49.2,,1928-11-01,
18,1928,12,,,,,25.7,,1928-12-01,
19,1929,1,,,,,46.2,,1929-01-01,
20,1929,2,,,,,25.6,,1929-02-01,
21,1929,3,,,,,144.8,,1929-03-01,
22,1929,4,,,,,241.6,,1929-04-01,
23,1929,5,,,,,243.0,,1929-05-01,
24,1929,6,,,,,241.6,,1929-06-01,
25,1929,7,,,,,175.5,,1929-07-01,
26,1929,8,,,,,121.3,,1929-08-01,
27,1929,9,,,,,87.9,,1929-09-01,
28,1929,10,,,,,90.3,,1929-10-01,
29,1929,11,,,,,50.8,,1929-11-01,
30,1929,12,,,,,27.9,,1929-12-01,
31,1930,1,,,,,30.1,,1930-01-01,
32,1930,2,,,,,84.5,,1930-02-01,
33,1930,3,,,,,114.4,,1930-03-01,
34,1930,4,,,,,214.0,,1930-04-01,
35,1930,5,,,,,215.7,,1930-05-01,
36,1930,6,,,,,219.6,,1930-06-01,
37,1930,7,,,,,132.9,,1930-07-01,
38,1930,8,,,,,125.2,,1930-08-01,
39,1930,9,,,,,122.7,,1930-09-01,
40,1930,10,,,,,66.9,,1930-10-01,
41,1930,11,,,,,66.9,,1930-11-01,
42,1930,12,8.2,3.9,3.0,161.0,33.9,,1930-12-01,6.05
43,1931,1,7.5,3.4,1.0,140.4,38.1,,1931-01-01,5.45
44,1931,2,7.0,2.4,3.0,117.3,86.2,,1931-02-01,4.7
45,1931,3,6.9,2.7,4.0,36.9,121.7,,1931-03-01,4.800000000000001
46,1931,4,9.3,4.7,1.0,58.0,168.4,,1931-04-01,7.0
47,1931,5,12.5,7.6,0.0,87.5,208.3,,1931-05-01,10.05
48,1931,6,13.3,9.2,0.0,99.0,137.7,,1931-06-01,11.25
49,1931,7,15.0,10.8,0.0,91.1,122.6,,1931-07-01,12.9
50,1931,8,15.6,10.6,0.0,26.3,213.7,,1931-08-01,13.1
51,1931,9,13.6,9.6,0.0,58.3,114.9,,1931-09-01,11.6
52,1931,10,11.7,7.1,0.0,99.7,86.4,,1931-10-01,9.399999999999999
53,1931,11,10.4,6.1,0.0,167.2,37.4,,1931-11-01,8.25
54,1931,12,9.6,5.9,1.0,87.7,13.4,,1931-12-01,7.75
55,1932,1,9.4,5.3,0.0,143.4,25.3,,1932-01-01,7.35
56,1932,2,8.3,3.1,4.0,6.5,113.2,,1932-02-01,5.7
57,1932,3,8.4,2.5,7.0,67.2,133.5,,1932-03-01,5.45
58,1932,4,9.0,3.8,0.0,86.7,187.8,,1932-04-01,6.4
59,1932,5,12.3,7.1,0.0,30.4,261.9,,1932-05-01,9.7
60,1932,6,15.8,10.3,0.0,48.2,251.8,,1932-06-01,13.05
61,1932,7,15.7,11.6,0.0,110.3,149.1,,1932-07-01,13.649999999999999
62,1932,8,16.3,11.4,0.0,88.5,164.1,,1932-08-01,13.850000000000001
63,1932,9,13.7,9.9,0.0,92.5,114.2,,1932-09-01,11.8
64,1932,10,11.3,6.3,0.0,130.3,90.7,,1932-10-01,8.8
65,1932,11,9.6,5.2,0.0,127.2,55.2,,1932-11-01,7.4
66,1932,12,8.3,4.1,3.0,111.6,55.3,,1932-12-01,6.2
67,1933,1,6.6,2.5,5.0,107.6,42.2,,1933-01-01,4.55
68,1933,2,7.1,3.1,2.0,90.4,72.3,,1933-02-01,5.1
69,1933,3,9.2,4.4,0.0,66.6,110.1,,1933-03-01,6.8
70,1933,4,10.7,5.9,0.0,80.7,130.8,,1933-04-01,8.3
71,1933,5,12.8,7.8,0.0,60.6,213.6,,1933-05-01,10.3
72,1933,6,15.6,10.8,0.0,53.6,225.8,,1933-06-01,13.2
73,1933,7,17.2,12.4,0.0,113.4,119.5,,1933-07-01,14.8
74,1933,8,16.6,11.7,0.0,154.1,156.9,,1933-08-01,14.15
75,1933,9,16.4,10.5,0.0,34.7,176.0,,1933-09-01,13.45
