,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1930,12,8.6,5.5,0.0,130.3,31.5,,1930-12-01,7.05
8,1931,1,8.0,4.2,0.0,66.2,63.8,,1931-01-01,6.1
9,1931,2,7.6,3.7,0.0,60.6,74.1,,1931-02-01,5.65
10,1931,3,8.5,2.4,6.0,32.5,130.3,,1931-03-01,5.45
11,1931,4,9.9,5.6,0.0,47.1,119.0,,1931-04-01,7.75
12,1931,5,12.9,8.0,0.0,86.0,197.1,,1931-05-01,10.45
13,1931,6,15.5,10.8,0.0,104.2,150.2,,1931-06-01,13.15
14,1931,7,16.5,12.3,0.0,43.5,150.8,,1931-07-01,14.4
15,1931,8,16.9,12.4,0.0,69.8,209.2,,1931-08-01,14.649999999999999
16,1931,9,14.8,11.1,0.0,78.3,123.8,,1931-09-01,12.95
17,1931,10,13.4,8.7,0.0,50.0,128.5,,1931-10-01,11.05
18,1931,11,11.6,8.0,0.0,155.8,53.3,,1931-11-01,9.8
19,1931,12,10.0,6.7,0.0,57.7,14.7,,1931-12-01,8.35
20,1932,1,9.8,6.5,0.0,122.6,53.0,,1932-01-01,8.15
21,1932,2,7.6,3.5,1.0,5.4,105.0,,1932-02-01,5.55
22,1932,3,8.7,3.8,2.0,37.5,119.5,,1932-03-01,6.25
23,1932,4,9.9,5.2,0.0,45.4,181.3,,1932-04-01,7.550000000000001
24,1932,5,12.3,8.0,0.0,64.2,164.9,,1932-05-01,10.15
25,1932,6,16.8,11.3,0.0,35.5,249.8,,1932-06-01,14.05
26,1932,7,17.0,13.2,0.0,91.4,154.9,,1932-07-01,15.1
27,1932,8,18.4,13.5,0.0,38.5,152.3,,1932-08-01,15.95
28,1932,9,16.0,11.7,0.0,68.4,129.1,,1932-09-01,13.85
29,1932,10,12.6,8.9,0.0,133.0,92.0,,1932-10-01,10.75
30,1932,11,10.3,6.8,0.0,89.0,60.6,,1932-11-01,8.55
31,1932,12,9.3,6.6,0.0,110.2,38.9,,1932-12-01,7.95
32,1933,1,6.9,3.1,3.0,99.7,102.5,,1933-01-01,5.0
33,1933,2,7.5,3.7,2.0,52.1,82.8,,1933-02-01,5.6
34,1933,3,11.0,5.3,0.0,55.4,148.9,,1933-03-01,8.15
35,1933,4,11.5,6.5,0.0,22.8,175.1,,1933-04-01,9.0
36,1933,5,13.8,8.8,0.0,37.9,154.7,,1933-05-01,11.3
37,1933,6,16.8,11.6,0.0,35.4,200.7,,1933-06-01,14.2
38,1933,7,18.7,13.6,0.0,36.0,178.5,,1933-07-01,16.15
39,1933,8,19.7,14.1,0.0,36.7,209.1,,1933-08-01,16.9
40,1933,9,18.3,12.9,0.0,23.9,209.0,,1933-09-01,15.600000000000001
41,1933,10,13.7,10.0,0.0,88.5,88.6,,1933-10-01,11.85
42,1933,11,9.8,6.5,1.0,46.0,79.4,,1933-11-01,8.15
43,1933,12,6.7,2.9,2.0,59.1,45.9,,1933-12-01,4.8
44,1934,1,8.7,5.3,0.0,90.0,62.1,,1934-01-01,7.0
45,1934,2,8.0,4.2,0.0,6.6,90.0,,1934-02-01,6.1
46,1934,3,8.6,3.7,0.0,49.4,119.7,,1934-03-01,6.15
47,1934,4,10.1,5.5,0.0,30.6,153.8,,1934-04-01,7.8
48,1934,5,12.7,8.0,0.0,98.4,182.6,,1934-05-01,10.35
49,1934,6,16.1,11.0,0.0,39.4,239.7,,1934-06-01,13.55
50,1934,7,19.6,13.9,0.0,10.6,255.0,,1934-07-01,16.75
51,1934,8,17.7,12.6,0.0,71.1,174.3,,1934-08-01,15.149999999999999
