,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1914,1,5.9,0.9,,48.3,,,1914-01-01,6.800000000000001
8,1914,2,7.7,2.3,,66.0,,,1914-02-01,10.0
9,1914,3,6.4,1.1,,76.7,,,1914-03-01,7.5
10,1914,4,10.8,4.4,,27.9,,,1914-04-01,15.200000000000001
11,1914,5,10.7,4.4,,61.0,,,1914-05-01,15.1
12,1914,6,13.5,7.6,,21.1,,,1914-06-01,21.1
13,1914,7,14.4,10.2,,91.9,,,1914-07-01,24.6
14,1914,8,15.2,10.2,,40.6,,,1914-08-01,25.4
15,1914,9,13.4,7.9,,58.9,,,1914-09-01,21.3
16,1914,10,11.8,6.1,,48.8,,,1914-10-01,17.9
17,1914,11,8.8,3.0,,105.2,,,1914-11-01,11.8
18,1914,12,5.7,0.5,,84.1,,,1914-12-01,6.2
19,1915,1,5.6,1.3,,58.4,,,1915-01-01,6.8999999999999995
20,1915,2,5.5,0.9,,63.5,,,1915-02-01,6.4
21,1915,3,6.7,1.0,,50.8,,,1915-03-01,7.7
22,1915,4,8.7,2.4,,58.4,,,1915-04-01,11.1
23,1915,5,9.4,3.6,,12.7,,,1915-05-01,13.0
24,1915,6,12.6,6.8,,22.9,,,1915-06-01,19.4
25,1915,7,14.3,8.9,,63.5,,,1915-07-01,23.200000000000003
26,1915,8,14.6,10.3,,22.9,,,1915-08-01,24.9
27,1915,9,13.2,8.7,,86.4,,,1915-09-01,21.9
28,1915,10,10.9,5.2,,27.9,,,1915-10-01,16.1
29,1915,11,6.3,1.2,,96.5,,,1915-11-01,7.5
30,1915,12,5.4,0.2,,111.8,,,1915-12-01,5.6000000000000005
31,1916,1,7.7,2.8,,76.2,,,1916-01-01,10.5
32,1916,2,5.3,1.0,,33.0,,,1916-02-01,6.3
33,1916,3,4.7,0.6,,53.3,,,1916-03-01,5.3
34,1916,4,8.7,3.0,,43.2,,,1916-04-01,11.7
35,1916,5,9.7,5.1,,78.7,,,1916-05-01,14.799999999999999
36,1916,6,11.0,7.3,,86.4,,,1916-06-01,18.3
37,1916,7,13.8,9.6,,33.0,,,1916-07-01,23.4
38,1916,8,13.5,8.8,,30.5,,,1916-08-01,22.3
39,1916,9,13.4,8.1,,33.0,,,1916-09-01,21.5
40,1916,10,11.1,5.4,,94.0,,,1916-10-01,16.5
41,1916,11,9.0,4.3,,66.0,,,1916-11-01,13.3
42,1916,12,6.3,1.0,,86.4,,,1916-12-01,7.3
43,1917,1,4.6,0.8,,94.0,,,1917-01-01,5.3999999999999995
44,1917,2,5.3,0.4,,17.8,,,1917-02-01,5.7
45,1917,3,5.4,0.2,,53.3,,,1917-03-01,5.6000000000000005
46,1917,4,6.8,0.0,,58.4,,,1917-04-01,6.8
47,1917,5,10.1,4.7,,20.3,,,1917-05-01,14.8
48,1917,6,13.4,7.5,,78.7,,,1917-06-01,20.9
49,1917,7,14.4,9.5,,35.6,,,1917-07-01,23.9
50,1917,8,14.9,10.7,,63.5,,,1917-08-01,25.6
51,1917,9,14.3,8.3,,81.3,,,1917-09-01,22.6
52,1917,10,9.2,3.1,,127.0,,,1917-10-01,12.299999999999999
53,1917,11,9.0,3.6,,124.5,,,1917-11-01,12.6
54,1917,12,5.5,1.1,,40.6,,,1917-12-01,6.6
55,1918,1,4.3,-1.8,,48.3,,,1918-01-01,2.5
56,1918,2,7.2,2.8,,58.4,,,1918-02-01,10.0
57,1918,3,7.3,1.8,,35.6,,,1918-03-01,9.1
58,1918,4,7.4,2.4,,30.5,,,1918-04-01,9.8
59,1918,5,11.7,6.9,,35.6,,,1918-05-01,18.6
60,1918,6,13.0,6.2,,40.6,,,1918-06-01,19.2
61,1918,7,13.6,9.7,,139.7,,,1918-07-01,23.299999999999997
62,1918,8,15.0,10.3,,127.0,,,1918-08-01,25.3
63,1918,9,11.5,5.3,,101.6,,,1918-09-01,16.8
64,1918,10,10.8,5.6,,48.3,,,1918-10-01,16.4
65,1918,11,8.5,3.1,,53.3,,,1918-11-01,11.6
66,1918,12,6.9,2.7,,96.5,,,1918-12-01,9.600000000000001
67,1919,1,5.8,2.4,,81.3,,,1919-01-01,8.2
68,1919,2,4.3,-1.1,,38.1,,,1919-02-01,3.1999999999999997
69,1919,3,4.9,-0.4,,86.4,,,1919-03-01,4.5
