Name,lat,lon,opened
Aberporth,52.13914,-4.56999,1941
Armagh,54.35234,-6.64866,1853
Eskdalemuir,55.311,-3.206,1914
Heathrow,51.47872,-0.44904,1948
Hurn,50.7789,-1.83483,1957
Lerwick,60.13946,-1.18299,1930
Manston,51.34597,1.33716,1934
Nairn,57.593,-3.82097,1931
Oxford,51.76073,-1.2625,1853
Paisley,55.8455,-4.42966,1959
Sheffield,53.38101,-1.48986,1883
Southampton,50.89822,-1.40839,1855
Stornoway Airport,58.21382,-6.31772,1873
Tiree,56.49999,-6.8796,1928
Wick Airport,58.45406,-3.0884,1914
Yeovilton,51.00586,-2.64148,1964
